"driver","drivId","vehicle","qualSec","qualiId"
"asutil","1983011100","force india",115.213,"f1~2010~1~1"
"bsenna","1983041500","hrt",123.24,"f1~2010~1~1"
"falonso","1981072900","ferrari",114.612,"f1~2010~1~1"
"fmassa","1981042500","ferrari",115.313,"f1~2010~1~1"
"hkovalainen","1981101900","caterham",120.313,"f1~2010~1~1"
"jalguersuari","1990032300","toro rosso",117.071,"f1~2010~1~1"
"jbutton","1980011900","mclaren",115.715,"f1~2010~1~1"
"jtrulli","1974071300","caterham",119.852,"f1~2010~1~1"
"kchandhok","1984011900","hrt",124.904,"f1~2010~1~1"
"kkobayashi","1986091300","sauber",116.541,"f1~2010~1~1"
"ldigrassi","1984081100","marussia",120.587,"f1~2010~1~1"
"lhamilton","1985010700","mclaren",115.341,"f1~2010~1~1"
"mschumacher","1969010300","mercedes",115.593,"f1~2010~1~1"
"mwebber","1976082700","red bull",115.298,"f1~2010~1~1"
"nhulkenberg","1987081900","williams",116.375,"f1~2010~1~1"
"nrosberg","1985062700","mercedes",115.463,"f1~2010~1~1"
"pdelarosa","1971022400","sauber",116.428,"f1~2010~1~1"
"rbarrichello","1972052300","williams",115.969,"f1~2010~1~1"
"rkubica","1984120700","lotus",115.511,"f1~2010~1~1"
"sbuemi","1988103100","toro rosso",116.189,"f1~2010~1~1"
"svettel","1987070300","red bull",115.029,"f1~2010~1~1"
"tglock","1982031800","marussia",119.728,"f1~2010~1~1"
"vliuzzi","1980080600","force india",115.628,"f1~2010~1~1"
"vpetrov","1984091800","lotus",116.167,"f1~2010~1~1"
"asutil","1983011100","force india",114.996,"f1~2010~1~2"
"falonso","1981072900","ferrari",114.172,"f1~2010~1~2"
"fmassa","1981042500","ferrari",114.331,"f1~2010~1~2"
"jbutton","1980011900","mclaren",115.168,"f1~2010~1~2"
"kkobayashi","1986091300","sauber",116.27,"f1~2010~1~2"
"lhamilton","1985010700","mclaren",114.707,"f1~2010~1~2"
"mschumacher","1969010300","mercedes",115.105,"f1~2010~1~2"
"mwebber","1976082700","red bull",114.318,"f1~2010~1~2"
"nhulkenberg","1987081900","williams",115.857,"f1~2010~1~2"
"nrosberg","1985062700","mercedes",114.682,"f1~2010~1~2"
"pdelarosa","1971022400","sauber",116.237,"f1~2010~1~2"
"rbarrichello","1972052300","williams",115.33,"f1~2010~1~2"
"rkubica","1984120700","lotus",114.963,"f1~2010~1~2"
"sbuemi","1988103100","toro rosso",116.265,"f1~2010~1~2"
"svettel","1987070300","red bull",113.883,"f1~2010~1~2"
"vliuzzi","1980080600","force india",115.653,"f1~2010~1~2"
"vpetrov","1984091800","lotus",116.619,"f1~2010~1~2"
"asutil","1983011100","force india",116.309,"f1~2010~1~3"
"falonso","1981072900","ferrari",114.608,"f1~2010~1~3"
"fmassa","1981042500","ferrari",114.242,"f1~2010~1~3"
"jbutton","1980011900","mclaren",115.672,"f1~2010~1~3"
"lhamilton","1985010700","mclaren",115.217,"f1~2010~1~3"
"mschumacher","1969010300","mercedes",115.524,"f1~2010~1~3"
