"series","season","raceNumber","qualiSession","qualiAddress","qualiId","noRecords"
"indycar",2015,1,1,"http://forix.autosport.com/gp.php?l=0&d=11&r=20151101&c=131","indycar~2015~1~1",FALSE
"indycar",2015,1,2,"http://forix.autosport.com/gp.php?l=0&d=11&r=20151101&c=132","indycar~2015~1~2",FALSE
"indycar",2015,1,3,"http://forix.autosport.com/gp.php?l=0&d=11&r=20151101&c=133","indycar~2015~1~3",FALSE
"indycar",2015,1,4,"http://forix.autosport.com/gp.php?l=0&d=11&r=20151101&c=134","indycar~2015~1~4",FALSE
"indycar",2015,2,1,"http://forix.autosport.com/gp.php?l=0&d=11&r=20151102&c=131","indycar~2015~2~1",FALSE
"indycar",2015,2,2,"http://forix.autosport.com/gp.php?l=0&d=11&r=20151102&c=132","indycar~2015~2~2",FALSE
"indycar",2015,2,3,"http://forix.autosport.com/gp.php?l=0&d=11&r=20151102&c=133","indycar~2015~2~3",TRUE
"indycar",2015,2,4,"http://forix.autosport.com/gp.php?l=0&d=11&r=20151102&c=134","indycar~2015~2~4",TRUE
"indycar",2015,3,1,"http://forix.autosport.com/gp.php?l=0&d=11&r=20151103&c=131","indycar~2015~3~1",FALSE
"indycar",2015,3,2,"http://forix.autosport.com/gp.php?l=0&d=11&r=20151103&c=132","indycar~2015~3~2",FALSE
"indycar",2015,3,3,"http://forix.autosport.com/gp.php?l=0&d=11&r=20151103&c=133","indycar~2015~3~3",FALSE
"indycar",2015,3,4,"http://forix.autosport.com/gp.php?l=0&d=11&r=20151103&c=134","indycar~2015~3~4",FALSE
"indycar",2015,4,1,"http://forix.autosport.com/gp.php?l=0&d=11&r=20151104&c=131","indycar~2015~4~1",FALSE
"indycar",2015,4,2,"http://forix.autosport.com/gp.php?l=0&d=11&r=20151104&c=132","indycar~2015~4~2",FALSE
"indycar",2015,4,3,"http://forix.autosport.com/gp.php?l=0&d=11&r=20151104&c=133","indycar~2015~4~3",FALSE
"indycar",2015,4,4,"http://forix.autosport.com/gp.php?l=0&d=11&r=20151104&c=134","indycar~2015~4~4",FALSE
"indycar",2015,5,1,"http://forix.autosport.com/gp.php?l=0&d=11&r=20151105&c=131","indycar~2015~5~1",FALSE
"indycar",2015,5,2,"http://forix.autosport.com/gp.php?l=0&d=11&r=20151105&c=132","indycar~2015~5~2",FALSE
"indycar",2015,5,3,"http://forix.autosport.com/gp.php?l=0&d=11&r=20151105&c=133","indycar~2015~5~3",FALSE
"indycar",2015,5,4,"http://forix.autosport.com/gp.php?l=0&d=11&r=20151105&c=134","indycar~2015~5~4",FALSE
"indycar",2015,7,1,"http://forix.autosport.com/gp.php?l=0&d=11&r=20151107&c=131","indycar~2015~7~1",FALSE
"indycar",2015,7,2,"http://forix.autosport.com/gp.php?l=0&d=11&r=20151107&c=132","indycar~2015~7~2",FALSE
"indycar",2015,7,3,"http://forix.autosport.com/gp.php?l=0&d=11&r=20151107&c=133","indycar~2015~7~3",FALSE
"indycar",2015,7,4,"http://forix.autosport.com/gp.php?l=0&d=11&r=20151107&c=134","indycar~2015~7~4",FALSE
"indycar",2015,8,1,"http://forix.autosport.com/gp.php?l=0&d=11&r=20151108&c=131","indycar~2015~8~1",FALSE
"indycar",2015,8,2,"http://forix.autosport.com/gp.php?l=0&d=11&r=20151108&c=132","indycar~2015~8~2",TRUE
