"driver","drivId","vehicle","qualSec","qualiId"
"Takuma Sato","1977012800","Dallara/Honda","61.337","indycar~2015~1~1"
"Tony Kanaan","1974123100","Dallara/Chevrolet","61.42","indycar~2015~1~1"
"Simon Pagenaud","1984051000","Dallara/Chevrolet","61.43","indycar~2015~1~1"
"Ryan Hunter-Reay","1980121700","Dallara/Honda","61.49","indycar~2015~1~1"
"Josef Newgarden","1980016537","Dallara/Chevrolet","61.494","indycar~2015~1~1"
"S.de Silvestro","1988090100","Dallara/Honda","61.547","indycar~2015~1~1"
"Charlie Kimball","1985022000","Dallara/Chevrolet","61.572","indycar~2015~1~1"
"Graham Rahal","1989010400","Dallara/Honda","61.574","indycar~2015~1~1"
"Stefano Coletti","1989040600","Dallara/Chevrolet","61.672","indycar~2015~1~1"
"Luca Filippi","1985080900","Dallara/Chevrolet","61.673","indycar~2015~1~1"
"Jack Hawksworth","1991022802","Dallara/Honda","62.009","indycar~2015~1~1"
"F.Dracone","1983092100","Dallara/Honda","64.265","indycar~2015~1~1"
"Will Power","1981030100","Dallara/Chevrolet","60.834","indycar~2015~1~2"
"H.Castroneves","1975051000","Dallara/Chevrolet","61.048","indycar~2015~1~2"
"J.P.Montoya","1975092000","Dallara/Chevrolet","61.187","indycar~2015~1~2"
"Scott Dixon","1980072200","Dallara/Chevrolet","61.196","indycar~2015~1~2"
"Marco Andretti","1987031300","Dallara/Honda","61.377","indycar~2015~1~2"
"S.Bourdais","1979022800","Dallara/Chevrolet","61.427","indycar~2015~1~2"
"Carlos Muñoz","1990015361","Dallara/Honda","61.489","indycar~2015~1~2"
"J.Hinchcliffe","1986120500","Dallara/Honda","61.578","indycar~2015~1~2"
"Sage Karam","1995050300","Dallara/Chevrolet","61.801","indycar~2015~1~2"
"James Jakes","1987080400","Dallara/Honda","61.832","indycar~2015~1~2"
"Gabby Chaves","1990015334","Dallara/Honda","61.97","indycar~2015~1~2"
"Carlos Huertas","1991062200","Dallara/Honda","61.971","indycar~2015~1~2"
"Will Power","1981030100","Dallara/Chevrolet","60.65","indycar~2015~1~3"
"Simon Pagenaud","1984051000","Dallara/Chevrolet","60.864","indycar~2015~1~3"
"S.Bourdais","1979022800","Dallara/Chevrolet","60.937","indycar~2015~1~3"
"Takuma Sato","1977012800","Dallara/Honda","60.97","indycar~2015~1~3"
"J.P.Montoya","1975092000","Dallara/Chevrolet","60.972","indycar~2015~1~3"
"H.Castroneves","1975051000","Dallara/Chevrolet","61.042","indycar~2015~1~3"
"Tony Kanaan","1974123100","Dallara/Chevrolet","61.118","indycar~2015~1~3"
"Ryan Hunter-Reay","1980121700","Dallara/Honda","61.167","indycar~2015~1~3"
"Scott Dixon","1980072200","Dallara/Chevrolet","61.228","indycar~2015~1~3"
"Josef Newgarden","1980016537","Dallara/Chevrolet","61.247","indycar~2015~1~3"
"S.de Silvestro","1988090100","Dallara/Honda","61.365","indycar~2015~1~3"
"Marco Andretti","1987031300","Dallara/Honda","61.476","indycar~2015~1~3"
"Will Power","1981030100","Dallara/Chevrolet","60.693","indycar~2015~1~4"
"Simon Pagenaud","1984051000","Dallara/Chevrolet","60.725","indycar~2015~1~4"
"H.Castroneves","1975051000","Dallara/Chevrolet","60.835","indycar~2015~1~4"
"J.P.Montoya","1975092000","Dallara/Chevrolet","60.853","indycar~2015~1~4"
"Takuma Sato","1977012800","Dallara/Honda","61.149","indycar~2015~1~4"
"S.Bourdais","1979022800","Dallara/Chevrolet","61.154","indycar~2015~1~4"
"Tony Kanaan","1974123100","Dallara/Chevrolet","98.366","indycar~2015~2~1"
"Simon Pagenaud","1984051000","Dallara/Chevrolet","98.442","indycar~2015~2~1"
"Carlos Muñoz","1990015361","Dallara/Honda","98.552","indycar~2015~2~1"
"Will Power","1981030100","Dallara/Chevrolet","98.576","indycar~2015~2~1"
"James Jakes","1987080400","Dallara/Honda","99.161","indycar~2015~2~1"
"J.Hinchcliffe","1986120500","Dallara/Honda","99.789","indycar~2015~2~1"
"J.P.Montoya","1975092000","Dallara/Chevrolet","99.815","indycar~2015~2~1"
"Carlos Huertas","1991062200","Dallara/Honda","100.186","indycar~2015~2~1"
"H.Castroneves","1975051000","Dallara/Chevrolet","100.208","indycar~2015~2~1"
"S.de Silvestro","1988090100","Dallara/Honda","100.215","indycar~2015~2~1"
"F.Dracone","1983092100","Dallara/Honda","100.665","indycar~2015~2~1"
"S.Bourdais","1979022800","Dallara/Chevrolet","101.757","indycar~2015~2~1"
"Josef Newgarden","1980016537","Dallara/Chevrolet","103.878","indycar~2015~2~2"
"Ryan Hunter-Reay","1980121700","Dallara/Honda","106.762","indycar~2015~2~2"
"Scott Dixon","1980072200","Dallara/Chevrolet","107.161","indycar~2015~2~2"
