"covshAddress","perim","circuit","raceNumber","series","season","numQual","fetchit","isOval","multiDriver","fastestRaceSec"
"gp.php?l=0&d=11&r=20151101&c=0","2897","St. Petersburg",1,"indycar",2015,4,TRUE,FALSE,FALSE,61.86
"gp.php?l=0&d=11&r=20151102&c=0","4410","NOLA",2,"indycar",2015,4,TRUE,FALSE,FALSE,88.558
"gp.php?l=0&d=11&r=20151103&c=0","3167","Long Beach",3,"indycar",2015,4,TRUE,FALSE,FALSE,68.096
"gp.php?l=0&d=11&r=20151104&c=0","3701","Barber",4,"indycar",2015,4,TRUE,FALSE,FALSE,69.718
"gp.php?l=0&d=11&r=20151105&c=0","3925","Indianapolis",5,"indycar",2015,4,TRUE,FALSE,FALSE,70.86
"gp.php?l=0&d=11&r=20151106&c=0","4023","Indianapolis",6,"indycar",2015,4,FALSE,TRUE,FALSE,NA
"gp.php?l=0&d=11&r=20151107&c=0","3782","Belle Isle",7,"indycar",2015,4,TRUE,FALSE,FALSE,79.872
"gp.php?l=0&d=11&r=20151108&c=0","3782","Belle Isle",8,"indycar",2015,4,TRUE,FALSE,FALSE,77.913
"gp.php?l=0&d=11&r=20151109&c=0","2342","Texas",9,"indycar",2015,4,FALSE,TRUE,FALSE,NA
"gp.php?l=0&d=11&r=20151110&c=0","2824","Toronto",10,"indycar",2015,4,TRUE,FALSE,FALSE,60.065
"gp.php?l=0&d=11&r=20151111&c=0","3219","Fontana",11,"indycar",2015,4,FALSE,TRUE,FALSE,NA
"gp.php?l=0&d=11&r=20151112&c=0","1633","Milwaukee",12,"indycar",2015,4,FALSE,TRUE,FALSE,NA
"gp.php?l=0&d=11&r=20151113&c=0","1439","Iowa",13,"indycar",2015,4,FALSE,TRUE,FALSE,NA
"gp.php?l=0&d=11&r=20151114&c=0","3634","Mid-Ohio",14,"indycar",2015,4,TRUE,FALSE,FALSE,66.348
"gp.php?l=0&d=11&r=20151115&c=0","4023","Pocono",15,"indycar",2015,4,FALSE,TRUE,FALSE,NA
"gp.php?l=0&d=11&r=20151116&c=0","3838","Infineon",16,"indycar",2015,4,TRUE,FALSE,FALSE,79.491
"gp.php?l=0&d=11&r=20161101&c=0","2897","St. Petersburg",1,"indycar",2016,4,TRUE,FALSE,FALSE,62.23
"gp.php?l=0&d=11&r=20161102&c=0","1645","Phoenix-IR",2,"indycar",2016,4,FALSE,TRUE,FALSE,NA
"gp.php?l=0&d=11&r=20161103&c=0","3167","Long Beach",3,"indycar",2016,4,TRUE,FALSE,FALSE,67.666
"gp.php?l=0&d=11&r=20161104&c=0","3701","Barber",4,"indycar",2016,4,TRUE,FALSE,FALSE,68.453
"gp.php?l=0&d=11&r=20161105&c=0","3925","Indianapolis",5,"indycar",2016,4,TRUE,FALSE,FALSE,69.553
"gp.php?l=0&d=11&r=20161106&c=0","4023","Indianapolis",6,"indycar",2016,4,FALSE,TRUE,FALSE,NA
"gp.php?l=0&d=11&r=20161107&c=0","3782","Belle Isle",7,"indycar",2016,4,TRUE,FALSE,FALSE,74.667
"gp.php?l=0&d=11&r=20161108&c=0","3782","Belle Isle",8,"indycar",2016,4,TRUE,FALSE,FALSE,74.556
"gp.php?l=0&d=11&r=20161109&c=0","6460","Road America",9,"indycar",2016,4,TRUE,FALSE,FALSE,104.119
"gp.php?l=0&d=11&r=20161110&c=0","1439","Iowa",10,"indycar",2016,4,FALSE,TRUE,FALSE,NA
"gp.php?l=0&d=11&r=20161111&c=0","2874","Toronto",11,"indycar",2016,4,TRUE,FALSE,FALSE,60.812
"gp.php?l=0&d=11&r=20161112&c=0","3634","Mid-Ohio",12,"indycar",2016,4,TRUE,FALSE,FALSE,65.26
"gp.php?l=0&d=11&r=20161113&c=0","4023","Pocono",13,"indycar",2016,4,FALSE,TRUE,FALSE,NA
"gp.php?l=0&d=11&r=20161114&c=0","2342","Texas",14,"indycar",2016,4,FALSE,TRUE,FALSE,NA
"gp.php?l=0&d=11&r=20161115&c=0","5423","Watkins Glen",15,"indycar",2016,4,TRUE,FALSE,FALSE,83.943
"gp.php?l=0&d=11&r=20161116&c=0","3838","Infineon",16,"indycar",2016,4,TRUE,FALSE,FALSE,79.262
"gp.php?l=0&d=11&r=20171101&c=0","2897","St. Petersburg",1,"indycar",2017,4,TRUE,FALSE,FALSE,62.078
"gp.php?l=0&d=11&r=20171102&c=0","3167","Long Beach",2,"indycar",2017,4,TRUE,FALSE,FALSE,67.769
"gp.php?l=0&d=11&r=20171103&c=0","3701","Barber",3,"indycar",2017,4,TRUE,FALSE,FALSE,68.276
"gp.php?l=0&d=11&r=20171104&c=0","1645","Phoenix-IR",4,"indycar",2017,4,FALSE,TRUE,FALSE,NA
"gp.php?l=0&d=11&r=20171105&c=0","3925","Indianapolis",5,"indycar",2017,4,TRUE,FALSE,FALSE,69.388
"gp.php?l=0&d=11&r=20171106&c=0","4023","Indianapolis",6,"indycar",2017,4,FALSE,TRUE,FALSE,NA
"gp.php?l=0&d=11&r=20171107&c=0","3782","Belle Isle",7,"indycar",2017,4,TRUE,FALSE,FALSE,74.206
"gp.php?l=0&d=11&r=20171108&c=0","3782","Belle Isle",8,"indycar",2017,4,TRUE,FALSE,FALSE,74.638
"gp.php?l=0&d=11&r=20171109&c=0","2317","Texas",9,"indycar",2017,4,FALSE,TRUE,FALSE,NA
"gp.php?l=0&d=11&r=20171110&c=0","6460","Road America",10,"indycar",2017,4,TRUE,FALSE,FALSE,103.465
"gp.php?l=0&d=11&r=20171111&c=0","1439","Iowa",11,"indycar",2017,4,FALSE,TRUE,FALSE,NA
"gp.php?l=0&d=11&r=20171112&c=0","2874","Toronto",12,"indycar",2017,4,TRUE,FALSE,FALSE,60.235
"gp.php?l=0&d=11&r=20171113&c=0","3634","Mid-Ohio",13,"indycar",2017,4,TRUE,FALSE,FALSE,65.969
"gp.php?l=0&d=11&r=20171114&c=0","4023","Pocono",14,"indycar",2017,4,FALSE,TRUE,FALSE,NA
"gp.php?l=0&d=11&r=20171115&c=0","2012","Gateway",15,"indycar",2017,4,FALSE,TRUE,FALSE,NA
"gp.php?l=0&d=11&r=20171116&c=0","5423","Watkins Glen",16,"indycar",2017,4,TRUE,FALSE,FALSE,83.916
"gp.php?l=0&d=11&r=20171117&c=0","3838","Infineon",17,"indycar",2017,4,TRUE,FALSE,FALSE,78.357
"gp.php?l=0&d=11&r=20181101&c=0","2897","St. Petersburg",1,"indycar",2018,4,TRUE,FALSE,FALSE,61.724
"gp.php?l=0&d=11&r=20181102&c=0","1645","Phoenix-IR",2,"indycar",2018,4,FALSE,TRUE,FALSE,NA
"gp.php?l=0&d=11&r=20181103&c=0","3167","Long Beach",3,"indycar",2018,4,TRUE,FALSE,FALSE,67.551
"gp.php?l=0&d=11&r=20181104&c=0","3701","Barber",4,"indycar",2018,4,TRUE,FALSE,FALSE,69.818
"gp.php?l=0&d=11&r=20181105&c=0","3925","Indianapolis",5,"indycar",2018,4,TRUE,FALSE,FALSE,70.568
"gp.php?l=0&d=11&r=20181106&c=0","4023","Indianapolis",6,"indycar",2018,4,FALSE,TRUE,FALSE,NA
"gp.php?l=0&d=11&r=20181107&c=0","3782","Belle Isle",7,"indycar",2018,4,TRUE,FALSE,FALSE,75.804
"gp.php?l=0&d=11&r=20181108&c=0","3782","Belle Isle",8,"indycar",2018,4,TRUE,FALSE,FALSE,75.059
"gp.php?l=0&d=11&r=20181109&c=0","2317","Texas",9,"indycar",2018,4,FALSE,TRUE,FALSE,NA
"gp.php?l=0&d=11&r=20181110&c=0","6460","Road America",10,"indycar",2018,4,TRUE,FALSE,FALSE,105.242
"gp.php?l=0&d=11&r=20181111&c=0","1439","Iowa",11,"indycar",2018,4,FALSE,TRUE,FALSE,NA
"gp.php?l=0&d=11&r=20181112&c=0","2874","Toronto",12,"indycar",2018,4,TRUE,FALSE,FALSE,59.714
"gp.php?l=0&d=11&r=20181113&c=0","3634","Mid-Ohio",13,"indycar",2018,4,TRUE,FALSE,FALSE,66.726
"gp.php?l=0&d=11&r=20181114&c=0","4023","Pocono",14,"indycar",2018,4,FALSE,TRUE,FALSE,NA
"gp.php?l=0&d=11&r=20181115&c=0","2012","Gateway",15,"indycar",2018,4,FALSE,TRUE,FALSE,NA
"gp.php?l=0&d=11&r=20181116&c=0","3161","Portland",16,"indycar",2018,4,TRUE,FALSE,FALSE,58.74
"gp.php?l=0&d=11&r=20181117&c=0","3838","Infineon",17,"indycar",2018,4,TRUE,FALSE,FALSE,79.864
"gp.php?l=0&d=303&r=20153031&c=0","5807","Suzuka",1,"fnippon",2015,3,TRUE,FALSE,FALSE,100.912
"gp.php?l=0&d=303&r=20153032&c=0","3703","TI Aida",2,"fnippon",2015,3,TRUE,FALSE,FALSE,77.043
"gp.php?l=0&d=303&r=20153033&c=0","4563","Fuji",3,"fnippon",2015,3,TRUE,FALSE,FALSE,85.917
"gp.php?l=0&d=303&r=20153034&c=0","4801.379","Motegi",4,"fnippon",2015,3,TRUE,FALSE,FALSE,94.975
"gp.php?l=0&d=303&r=20153035&c=0","4674","Autopolis",5,"fnippon",2015,3,TRUE,FALSE,FALSE,90.499
"gp.php?l=0&d=303&r=20153036&c=0","3704.256","Sugo",6,"fnippon",2015,3,TRUE,FALSE,FALSE,67.472
"gp.php?l=0&d=303&r=20153037&c=0","5807","Suzuka",7,"fnippon",2015,3,TRUE,FALSE,FALSE,115.401
"gp.php?l=0&d=303&r=20153038&c=0","5807","Suzuka",8,"fnippon",2015,3,TRUE,FALSE,FALSE,115.809
"gp.php?l=0&d=303&r=20163031&c=0","5807","Suzuka",1,"fnippon",2016,3,TRUE,FALSE,FALSE,101.167
"gp.php?l=0&d=303&r=20163032&c=0","3703","TI Aida",2,"fnippon",2016,3,TRUE,FALSE,FALSE,130.96
"gp.php?l=0&d=303&r=20163033&c=0","4563","Fuji",3,"fnippon",2016,3,TRUE,FALSE,FALSE,85.759
"gp.php?l=0&d=303&r=20163034&c=0","4801.379","Motegi",4,"fnippon",2016,3,TRUE,FALSE,FALSE,96.444
"gp.php?l=0&d=303&r=20163035&c=0","3703","TI Aida",5,"fnippon",2016,3,TRUE,FALSE,FALSE,77.353
