"driver","drivId","vehicle","qualSec","qualiId","series","season","raceNumber","fastestRaceSec","circuit","perim"
"Will Power","1981030100","Dallara/Chevrolet","61.064","indycar~2017~1~1","indycar",2017,1,62.078,"St. Petersburg","2897"
"Scott Dixon","1980072200","Dallara/Honda","61.221","indycar~2017~1~1","indycar",2017,1,62.078,"St. Petersburg","2897"
"J.Hinchcliffe","1986120500","Dallara/Honda","61.303","indycar~2017~1~1","indycar",2017,1,62.078,"St. Petersburg","2897"
"Josef Newgarden","1980016537","Dallara/Chevrolet","61.722","indycar~2017~1~1","indycar",2017,1,62.078,"St. Petersburg","2897"
"Takuma Sato","1977012800","Dallara/Honda","61.985","indycar~2017~1~1","indycar",2017,1,62.078,"St. Petersburg","2897"
"Tony Kanaan","1974123100","Dallara/Honda","62.082","indycar~2017~1~1","indycar",2017,1,62.078,"St. Petersburg","2897"
"Scott Dixon","1980072200","Dallara/Honda","60.96","indycar~2017~1~2","indycar",2017,1,62.078,"St. Petersburg","2897"
"Josef Newgarden","1980016537","Dallara/Chevrolet","61.111","indycar~2017~1~2","indycar",2017,1,62.078,"St. Petersburg","2897"
"Takuma Sato","1977012800","Dallara/Honda","61.377","indycar~2017~1~2","indycar",2017,1,62.078,"St. Petersburg","2897"
"Tony Kanaan","1974123100","Dallara/Honda","61.506","indycar~2017~1~2","indycar",2017,1,62.078,"St. Petersburg","2897"
"Alexander Rossi","1991092500","Dallara/Honda","61.534","indycar~2017~1~2","indycar",2017,1,62.078,"St. Petersburg","2897"
"Graham Rahal","1989010400","Dallara/Honda","61.587","indycar~2017~1~2","indycar",2017,1,62.078,"St. Petersburg","2897"
"Simon Pagenaud","1984051000","Dallara/Chevrolet","61.612","indycar~2017~1~2","indycar",2017,1,62.078,"St. Petersburg","2897"
"H.Castroneves","1975051000","Dallara/Chevrolet","61.715","indycar~2017~1~2","indycar",2017,1,62.078,"St. Petersburg","2897"
"Ed Jones","1995021200","Dallara/Honda","61.759","indycar~2017~1~2","indycar",2017,1,62.078,"St. Petersburg","2897"
"Conor Daly","1991121700","Dallara/Chevrolet","62.203","indycar~2017~1~2","indycar",2017,1,62.078,"St. Petersburg","2897"
"S.Bourdais","1979022800","Dallara/Honda",NA,"indycar~2017~1~2","indycar",2017,1,62.078,"St. Petersburg","2897"
"Scott Dixon","1980072200","Dallara/Honda","60.929","indycar~2017~1~3","indycar",2017,1,62.078,"St. Petersburg","2897"
"J.Hinchcliffe","1986120500","Dallara/Honda","61.189","indycar~2017~1~3","indycar",2017,1,62.078,"St. Petersburg","2897"
"Josef Newgarden","1980016537","Dallara/Chevrolet","61.191","indycar~2017~1~3","indycar",2017,1,62.078,"St. Petersburg","2897"
"Takuma Sato","1977012800","Dallara/Honda","61.269","indycar~2017~1~3","indycar",2017,1,62.078,"St. Petersburg","2897"
"Will Power","1981030100","Dallara/Chevrolet","61.317","indycar~2017~1~3","indycar",2017,1,62.078,"St. Petersburg","2897"
"Tony Kanaan","1974123100","Dallara/Honda","61.321","indycar~2017~1~3","indycar",2017,1,62.078,"St. Petersburg","2897"
"Max Chilton","1991042100","Dallara/Honda","61.351","indycar~2017~1~3","indycar",2017,1,62.078,"St. Petersburg","2897"
"Alexander Rossi","1991092500","Dallara/Honda","61.519","indycar~2017~1~3","indycar",2017,1,62.078,"St. Petersburg","2897"
"Charlie Kimball","1985022000","Dallara/Honda","61.606","indycar~2017~1~3","indycar",2017,1,62.078,"St. Petersburg","2897"
"Graham Rahal","1989010400","Dallara/Honda","61.618","indycar~2017~1~3","indycar",2017,1,62.078,"St. Petersburg","2897"
"Carlos Muñoz","1990015361","Dallara/Chevrolet","61.739","indycar~2017~1~3","indycar",2017,1,62.078,"St. Petersburg","2897"
"Ryan Hunter-Reay","1980121700","Dallara/Honda","63.158","indycar~2017~1~3","indycar",2017,1,62.078,"St. Petersburg","2897"
"Will Power","1981030100","Dallara/Chevrolet","61.064","indycar~2017~1~4","indycar",2017,1,62.078,"St. Petersburg","2897"
"Scott Dixon","1980072200","Dallara/Honda","61.221","indycar~2017~1~4","indycar",2017,1,62.078,"St. Petersburg","2897"
"J.Hinchcliffe","1986120500","Dallara/Honda","61.303","indycar~2017~1~4","indycar",2017,1,62.078,"St. Petersburg","2897"
"Josef Newgarden","1980016537","Dallara/Chevrolet","61.722","indycar~2017~1~4","indycar",2017,1,62.078,"St. Petersburg","2897"
"Takuma Sato","1977012800","Dallara/Honda","61.985","indycar~2017~1~4","indycar",2017,1,62.078,"St. Petersburg","2897"
"Tony Kanaan","1974123100","Dallara/Honda","62.082","indycar~2017~1~4","indycar",2017,1,62.078,"St. Petersburg","2897"
"Ryan Hunter-Reay","1980121700","Dallara/Honda","67.017","indycar~2017~2~1","indycar",2017,2,67.769,"Long Beach","3167"
"Josef Newgarden","1980016537","Dallara/Chevrolet","67.061","indycar~2017~2~1","indycar",2017,2,67.769,"Long Beach","3167"
"Alexander Rossi","1991092500","Dallara/Honda","67.096","indycar~2017~2~1","indycar",2017,2,67.769,"Long Beach","3167"
"Graham Rahal","1989010400","Dallara/Honda","67.251","indycar~2017~2~1","indycar",2017,2,67.769,"Long Beach","3167"
"J.Hinchcliffe","1986120500","Dallara/Honda","67.32","indycar~2017~2~1","indycar",2017,2,67.769,"Long Beach","3167"
"Charlie Kimball","1985022000","Dallara/Honda","67.414","indycar~2017~2~1","indycar",2017,2,67.769,"Long Beach","3167"
"Ed Jones","1995021200","Dallara/Honda","67.583","indycar~2017~2~1","indycar",2017,2,67.769,"Long Beach","3167"
"J.R. Hildebrand","1987019000","Dallara/Chevrolet","67.693","indycar~2017~2~1","indycar",2017,2,67.769,"Long Beach","3167"
"Conor Daly","1991121700","Dallara/Chevrolet","67.797","indycar~2017~2~1","indycar",2017,2,67.769,"Long Beach","3167"
"Spencer Pigot","1993092900","Dallara/Chevrolet","67.844","indycar~2017~2~1","indycar",2017,2,67.769,"Long Beach","3167"
"Will Power","1981030100","Dallara/Chevrolet","66.734","indycar~2017~2~2","indycar",2017,2,67.769,"Long Beach","3167"
"Scott Dixon","1980072200","Dallara/Honda","66.829","indycar~2017~2~2","indycar",2017,2,67.769,"Long Beach","3167"
"Tony Kanaan","1974123100","Dallara/Honda","67.047","indycar~2017~2~2","indycar",2017,2,67.769,"Long Beach","3167"
